"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","3","0.0-0.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","2720","0.0-1.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","[{""page_index"":0,""viewing_time"":2716}]","2716","","","","","","","","","","","","","","","","","","",""
"","","","","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","","fullscreenenter","2","4310","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","5310","0.0-2.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","47581","0.0-4.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","[{""page_index"":0,""viewing_time"":10278},{""page_index"":1,""viewing_time"":14027},{""page_index"":2,""viewing_time"":10494},{""page_index"":3,""viewing_time"":3174},{""page_index"":4,""viewing_time"":4294}]","42268","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","48084","0.0-5.0-1.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","52596","0.0-5.0-2.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw070.bmp","1,0,1","Match","e","4500","","","","",""
"html-keyboard-response","6","56606","0.0-5.0-3.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","58273","0.0-5.0-4.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","1663","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw070.bmp","1,0,1","Match","e","4500","trustrating_stim/white_mw070.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","8","58782","0.0-5.0-5.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","59294","0.0-5.0-1.1","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","62302","0.0-5.0-2.1","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw092.bmp","0,1","Match","e","3000","","","","",""
"html-keyboard-response","11","66308","0.0-5.0-3.1","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","12","67624","0.0-5.0-4.1","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","1312","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw092.bmp","0,1","Match","e","3000","trustrating_stim/white_mw092.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","13","68133","0.0-5.0-5.1","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","14","68643","0.0-5.0-1.2","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","15","70147","0.0-5.0-2.2","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw010.bmp","1","noMatchFace","i","1500","","","","",""
"html-keyboard-response","16","74158","0.0-5.0-3.2","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","17","75021","0.0-5.0-4.2","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","860","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw010.bmp","1","noMatchFace","i","1500","trustrating_stim/white_mw012.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","18","75524","0.0-5.0-5.2","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","19","76030","0.0-5.0-1.3","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","20","77540","0.0-5.0-2.3","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw042.bmp","0","Match","e","1500","","","","",""
"html-keyboard-response","21","81550","0.0-5.0-3.3","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","22","82774","0.0-5.0-4.3","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","1220","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw042.bmp","0","Match","e","1500","trustrating_stim/white_mw042.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","23","83278","0.0-5.0-5.3","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","24","83792","0.0-5.0-1.4","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","25","88302","0.0-5.0-2.4","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw085.bmp","1,0,0","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","26","92308","0.0-5.0-3.4","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","27","94879","0.0-5.0-4.4","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","2569","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw085.bmp","1,0,0","noMatchOutcome","i","4500","trustrating_stim/white_mw040.bmp","green","Share","PRACTICE","0"
"html-keyboard-response","28","95390","0.0-5.0-5.4","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","29","95900","0.0-5.0-1.5","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","30","98911","0.0-5.0-2.5","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw038.bmp","0,1","noMatchOutcome","i","3000","","","","",""
"html-keyboard-response","31","102916","0.0-5.0-3.5","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","32","104324","0.0-5.0-4.5","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","1404","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw038.bmp","0,1","noMatchOutcome","i","3000","trustrating_stim/white_mw038.bmp","red","Keep","PRACTICE","0"
"html-keyboard-response","33","104830","0.0-5.0-5.5","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"instructions","34","108986","0.0-6.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","[{""page_index"":0,""viewing_time"":4154}]","4154","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","109491","0.0-7.0-1.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","36","114004","0.0-7.0-2.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw070.bmp","1,0,1","noMatchFace","i","4500","","","","",""
"html-keyboard-response","37","118015","0.0-7.0-3.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","38","119417","0.0-7.0-4.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","1401","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw070.bmp","1,0,1","noMatchFace","i","4500","trustrating_stim/white_mw013.bmp","red","Keep","REAL","1"
"html-keyboard-response","39","119923","0.0-7.0-5.0","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","40","120430","0.0-7.0-1.1","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","41","123438","0.0-7.0-2.1","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw013.bmp","1,0","Match","e","3000","","","","",""
"html-keyboard-response","42","127443","0.0-7.0-3.1","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","43","129520","0.0-7.0-4.1","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","2075","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw013.bmp","1,0","Match","e","3000","trustrating_stim/white_mw013.bmp","red","Keep","REAL","1"
"html-keyboard-response","44","130030","0.0-7.0-5.1","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","45","130540","0.0-7.0-1.2","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","46","133551","0.0-7.0-2.2","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw010.bmp","1,0","noMatchFace","i","3000","","","","",""
"html-keyboard-response","47","137556","0.0-7.0-3.2","6105338a15c74e8435e95c71","bdp_wmem","Wed Mar 15 2023 15:59:21 GMT-0400 (Eastern Daylight Time)","551015","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
