"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","3","0.0-0.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","8897","0.0-1.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","[{""page_index"":0,""viewing_time"":8894}]","8894","","","","","","","","","","","","","","","","","","",""
"","","","","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","","fullscreenenter","2","11853","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","12845","0.0-2.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","116967","0.0-4.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","[{""page_index"":0,""viewing_time"":19420},{""page_index"":1,""viewing_time"":31624},{""page_index"":2,""viewing_time"":18703},{""page_index"":3,""viewing_time"":21088},{""page_index"":4,""viewing_time"":13280}]","104115","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","117471","0.0-5.0-1.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","120475","0.0-5.0-2.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw078.bmp","1,0","Match","e","3000","","","","",""
"html-keyboard-response","6","124477","0.0-5.0-3.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","126727","0.0-5.0-4.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","2247","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw078.bmp","1,0","Match","e","3000","trustrating_stim/white_mw003.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","8","127230","0.0-5.0-5.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","127732","0.0-5.0-1.1","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","129234","0.0-5.0-2.1","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw040.bmp","0","Match","e","1500","","","","",""
"html-keyboard-response","11","133235","0.0-5.0-3.1","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","12","134319","0.0-5.0-4.1","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","1082","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw040.bmp","0","Match","e","1500","trustrating_stim/white_mw040.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","13","134821","0.0-5.0-5.1","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","14","135324","0.0-5.0-1.2","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","15","138325","0.0-5.0-2.2","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw070.bmp","1,0","noMatchFace","i","3000","","","","",""
"html-keyboard-response","16","142327","0.0-5.0-3.2","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","17","143558","0.0-5.0-4.2","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","1229","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw070.bmp","1,0","noMatchFace","i","3000","trustrating_stim/white_mw003.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","18","144061","0.0-5.0-5.2","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","19","144563","0.0-5.0-1.3","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","20","149067","0.0-5.0-2.3","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw092.bmp","1,0,0","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","21","153068","0.0-5.0-3.3","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","22","154231","0.0-5.0-4.3","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","1161","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw092.bmp","1,0,0","noMatchOutcome","i","4500","trustrating_stim/white_mw085.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","23","154734","0.0-5.0-5.3","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","24","155236","0.0-5.0-1.4","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","25","156738","0.0-5.0-2.4","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw078.bmp","0","noMatchFace","i","1500","","","","",""
"html-keyboard-response","26","160740","0.0-5.0-3.4","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","27","161526","0.0-5.0-4.4","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","784","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw078.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw042.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","28","162028","0.0-5.0-5.4","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","29","162529","0.0-5.0-1.5","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","30","167031","0.0-5.0-2.5","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw038.bmp","1,0,0","Match","e","4500","","","","",""
"html-keyboard-response","31","171033","0.0-5.0-3.5","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","32","172407","0.0-5.0-4.5","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","1372","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw038.bmp","1,0,0","Match","e","4500","trustrating_stim/white_mw092.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","33","172910","0.0-5.0-5.5","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"instructions","34","180223","0.0-6.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","[{""page_index"":0,""viewing_time"":7312}]","7313","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","180725","0.0-7.0-1.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","36","182227","0.0-7.0-2.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw078.bmp","1","noMatchOutcome","i","1500","","","","",""
"html-keyboard-response","37","186229","0.0-7.0-3.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","38","187229","0.0-7.0-4.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","998","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw078.bmp","1","noMatchOutcome","i","1500","trustrating_stim/white_mw078.bmp","red","Keep","REAL","1"
"html-keyboard-response","39","187730","0.0-7.0-5.0","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","40","188233","0.0-7.0-1.1","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","41","189736","0.0-7.0-2.1","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw013.bmp","0","noMatchOutcome","i","1500","","","","",""
"html-keyboard-response","42","193738","0.0-7.0-3.1","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","43","194879","0.0-7.0-4.1","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","1140","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw013.bmp","0","noMatchOutcome","i","1500","trustrating_stim/white_mw013.bmp","green","Share","REAL","1"
"html-keyboard-response","44","195382","0.0-7.0-5.1","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","45","195884","0.0-7.0-1.2","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","46","197387","0.0-7.0-2.2","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw092.bmp","1","Match","e","1500","","","","",""
"html-keyboard-response","47","201389","0.0-7.0-3.2","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","48","202431","0.0-7.0-4.2","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","1041","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw092.bmp","1","Match","e","1500","trustrating_stim/white_mw092.bmp","green","Share","REAL","1"
"html-keyboard-response","49","202935","0.0-7.0-5.2","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","50","203437","0.0-7.0-1.3","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","51","204940","0.0-7.0-2.3","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw042.bmp","0","noMatchFace","i","1500","","","","",""
"html-keyboard-response","52","208943","0.0-7.0-3.3","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","53","209967","0.0-7.0-4.3","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","1022","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw042.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw013.bmp","red","Keep","REAL","1"
"html-keyboard-response","54","210469","0.0-7.0-5.3","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","55","210971","0.0-7.0-1.4","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","56","215474","0.0-7.0-2.4","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw085.bmp","1,1,0","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","57","219476","0.0-7.0-3.4","63d18e630e39bc97ef16152b","bdp_wmem","Tue Mar 14 2023 20:46:05 GMT-0500 (Central Daylight Time)","618081","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
